station_id,pasture_id,timestamp,air_temp_f,humidity_pct,pressure_hpa,rainfall_in,soil_moisture_10cm,soil_moisture_30cm,soil_moisture_60cm,soil_temp_f,water_tank_pct,trough_level_pct,battery_voltage,solar_voltage,signal_strength,rssi,snr,hop_count,firmware_version,notes
NP1,CC-001,2026-04-20 12:00:00,95.2,28.63,1004.47,0.0,14.28,19.2,21.51,91.16,,,4.06,6.34,-91.0,-91.0,13.49,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 13:00:00,98.74,26.67,1008.6,0.0,16.08,19.21,20.84,91.02,,,4.02,6.19,-95.8,-95.8,10.12,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 14:00:00,96.35,19.66,1012.92,0.0,12.74,17.94,21.6,88.77,,,4.03,5.96,-90.7,-90.7,5.9,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 15:00:00,88.47,31.9,1008.07,0.0,14.6,17.46,21.29,81.22,,,4.04,5.83,-90.7,-90.7,4.52,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 16:00:00,84.59,39.72,1006.85,0.0,13.96,19.2,21.21,77.98,,,4.0,5.6,-93.8,-93.8,10.76,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 17:00:00,84.27,39.99,1007.3,0.0,14.16,20.47,20.56,78.63,,,4.01,5.44,-98.2,-98.2,11.31,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 18:00:00,79.89,43.11,1010.81,0.0,12.67,19.76,20.34,72.85,,,4.0,5.38,-95.0,-95.0,9.81,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 19:00:00,72.0,44.82,1009.93,0.0,12.64,18.55,21.34,66.38,,,4.02,5.36,-89.4,-89.4,7.76,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 20:00:00,68.03,40.06,1011.83,0.0,12.03,17.75,20.61,62.86,,,4.01,5.38,-90.0,-90.0,10.84,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 21:00:00,70.47,43.04,1005.79,0.0,12.26,19.34,20.82,64.44,,,4.01,5.34,-93.8,-93.8,14.0,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 22:00:00,68.98,53.38,1003.38,0.0,12.66,18.62,20.83,64.93,,,4.03,5.36,-90.3,-90.3,6.66,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 23:00:00,66.71,48.62,1002.5,0.0,11.7,17.89,19.34,62.91,,,4.03,5.4,-97.3,-97.3,10.89,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 00:00:00,63.68,45.18,1009.98,0.0,11.24,17.79,19.99,58.02,,,4.01,5.3,-95.0,-95.0,10.86,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 01:00:00,64.96,40.27,1007.75,0.0,12.24,16.67,20.67,58.91,,,4.03,5.41,-95.8,-95.8,9.59,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 02:00:00,72.48,46.91,1008.21,0.0,12.89,18.7,18.95,67.3,,,4.02,5.47,-91.2,-91.2,2.37,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 03:00:00,74.59,31.57,1007.37,0.0,12.53,18.63,21.49,68.52,,,4.04,5.37,-96.8,-96.8,7.79,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 04:00:00,80.41,34.61,1009.74,0.0,14.14,17.98,19.7,75.82,,,4.0,5.32,-95.3,-95.3,11.65,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 05:00:00,79.98,35.49,1013.79,0.0,13.03,17.75,21.18,72.65,,,3.99,5.26,-90.7,-90.7,10.21,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 06:00:00,88.56,44.59,1010.72,0.025,12.46,19.16,20.65,80.55,,,4.01,5.63,-93.6,-93.6,4.55,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 07:00:00,94.35,35.47,1009.31,0.0,14.49,18.48,22.2,86.59,,,4.02,5.85,-92.4,-92.4,7.39,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 08:00:00,94.25,21.6,1010.47,0.0,12.5,17.52,20.92,86.51,,,4.0,5.9,-94.5,-94.5,4.12,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 09:00:00,96.38,16.49,1007.89,0.0,14.32,18.8,21.09,88.04,,,4.01,6.19,-92.7,-92.7,7.51,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 10:00:00,98.65,24.06,1004.98,0.0,14.48,19.86,21.95,92.9,,,4.02,6.18,-93.1,-93.1,5.97,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 11:00:00,102.02,25.4,1010.27,0.0,12.51,18.17,20.72,92.74,,,4.03,6.27,-95.2,-95.2,8.14,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 12:00:00,100.34,23.92,1011.76,0.0,14.48,18.31,20.41,93.53,,,3.99,6.23,-90.9,-90.9,8.96,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 13:00:00,98.51,26.7,1010.71,0.0,11.89,18.29,20.87,91.86,,,4.02,6.14,-93.8,-93.8,5.98,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 14:00:00,98.63,28.41,1010.67,0.0,13.57,16.7,20.98,90.94,,,4.02,5.96,-92.4,-92.4,8.41,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 15:00:00,90.55,23.99,1005.34,0.0,11.37,17.33,21.65,82.93,,,3.99,5.82,-89.9,-89.9,9.58,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 16:00:00,90.31,24.85,1009.81,0.0,14.36,18.22,21.76,82.93,,,3.98,5.58,-93.1,-93.1,8.54,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 17:00:00,79.57,33.14,1011.13,0.0,14.86,19.45,21.43,73.33,,,4.01,5.37,-95.3,-95.3,11.23,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 18:00:00,79.33,42.12,1011.41,0.0,11.35,17.03,20.29,72.8,,,3.98,5.38,-90.8,-90.8,6.75,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 19:00:00,72.33,44.15,1008.56,0.269,13.62,18.56,20.62,66.01,,,3.97,5.43,-89.8,-89.8,6.75,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 20:00:00,77.17,37.87,1007.19,0.0,10.39,17.58,20.2,73.88,,,4.02,5.42,-91.8,-91.8,8.47,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 21:00:00,67.52,55.07,1006.42,0.0,11.76,18.03,20.41,61.16,,,4.0,5.26,-87.8,-87.8,12.81,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 22:00:00,65.5,38.31,1010.6,0.0,11.81,17.02,20.67,57.44,,,4.03,5.26,-98.4,-98.4,5.92,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-21 23:00:00,69.12,55.75,1006.05,0.0,12.9,17.03,19.82,62.17,,,3.99,5.28,-94.8,-94.8,12.06,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 00:00:00,63.25,57.03,1007.28,0.0,11.72,19.28,19.92,59.22,,,3.97,5.4,-94.9,-94.9,8.73,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 01:00:00,69.87,46.64,1009.47,0.071,11.44,17.98,20.63,62.4,,,4.03,5.33,-91.6,-91.6,8.42,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 02:00:00,69.95,45.18,1004.92,0.0,11.43,17.65,22.0,64.69,,,4.0,5.43,-105.3,-105.3,6.6,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 03:00:00,72.69,47.73,1010.22,0.0,12.8,17.77,19.27,67.47,,,3.98,5.32,-88.5,-88.5,7.79,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 04:00:00,79.14,42.26,1003.94,0.0,12.49,19.12,22.26,71.83,,,3.99,5.36,-92.6,-92.6,6.67,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 05:00:00,81.96,36.02,1007.76,0.0,13.18,19.24,21.58,75.09,,,4.02,5.36,-95.1,-95.1,11.95,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 06:00:00,87.4,32.76,1002.26,0.0,13.36,17.8,21.56,81.53,,,4.03,5.68,-94.3,-94.3,13.83,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 07:00:00,93.7,27.91,1006.98,0.0,12.82,17.52,21.74,86.25,,,4.0,5.81,-94.6,-94.6,6.88,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 08:00:00,96.74,23.59,1005.38,0.0,12.55,18.8,20.52,86.77,,,4.02,6.11,-94.2,-94.2,10.73,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 09:00:00,95.24,28.24,1009.43,0.0,13.81,19.21,21.81,86.98,,,3.99,6.05,-97.2,-97.2,13.92,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 10:00:00,98.8,29.76,1006.82,0.0,14.31,19.22,22.15,90.68,,,4.02,6.23,-92.2,-92.2,10.37,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 11:00:00,99.03,27.99,1003.66,0.0,15.08,19.85,21.47,89.45,,,4.0,6.19,-94.3,-94.3,6.5,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 12:00:00,96.93,24.35,1004.95,0.0,15.37,18.18,20.63,88.05,,,4.02,6.26,-93.2,-93.2,9.47,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 13:00:00,97.02,20.05,1008.42,0.074,14.88,18.77,20.69,87.56,,,4.0,6.1,-95.2,-95.2,8.95,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 14:00:00,94.07,29.3,1005.93,0.0,14.58,17.81,22.34,87.12,,,3.97,5.98,-95.1,-95.1,8.66,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 15:00:00,90.47,31.8,1011.73,0.0,13.49,18.65,20.42,82.25,,,4.02,5.7,-90.3,-90.3,9.32,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 16:00:00,84.21,31.74,1004.04,0.0,12.17,17.97,20.94,76.05,,,4.0,5.46,-91.4,-91.4,7.03,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 17:00:00,80.76,45.07,1011.0,0.0,13.57,17.58,20.6,77.25,,,4.02,5.42,-92.9,-92.9,7.58,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 18:00:00,79.02,40.71,1007.54,0.0,13.3,17.77,20.77,70.91,,,3.98,5.4,-91.4,-91.4,8.28,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 19:00:00,76.22,38.38,1007.16,0.0,13.25,18.37,19.77,69.85,,,4.01,5.37,-102.7,-102.7,4.03,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 20:00:00,71.87,46.31,1008.54,0.0,12.29,17.59,21.98,64.75,,,3.99,5.35,-85.5,-85.5,13.11,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 21:00:00,70.34,38.93,1002.79,0.0,10.93,17.65,20.52,64.46,,,4.0,5.24,-89.9,-89.9,6.6,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 22:00:00,71.01,48.57,1010.74,0.0,12.82,17.25,21.24,63.13,,,3.98,5.35,-87.3,-87.3,7.43,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-22 23:00:00,68.61,48.67,1011.11,0.0,13.26,17.7,19.64,60.12,,,4.02,5.37,-90.8,-90.8,11.39,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 00:00:00,64.7,63.55,1009.38,0.0,11.23,17.68,20.33,59.04,,,4.0,5.33,-79.2,-79.2,13.87,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 01:00:00,70.62,61.34,1009.13,0.0,11.84,16.58,20.17,66.34,,,3.99,5.32,-90.0,-90.0,12.95,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 02:00:00,75.17,46.88,1004.58,0.0,12.3,17.72,22.26,67.51,,,3.97,5.36,-92.4,-92.4,7.59,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 03:00:00,76.64,47.72,1005.41,0.0,13.05,19.37,21.0,69.43,,,4.0,5.36,-92.1,-92.1,11.32,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 04:00:00,81.38,45.43,1008.71,0.016,13.74,17.96,20.76,74.41,,,4.0,5.36,-89.0,-89.0,9.43,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 05:00:00,81.13,37.05,1008.49,0.0,12.57,19.77,21.84,74.73,,,3.98,5.32,-88.5,-88.5,9.79,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 06:00:00,87.94,38.32,1007.92,0.0,12.6,17.22,21.81,78.88,,,3.97,5.69,-91.3,-91.3,6.72,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 07:00:00,92.17,33.51,1009.47,0.0,11.78,18.89,19.1,84.19,,,3.98,5.79,-92.0,-92.0,7.41,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 08:00:00,96.35,28.64,1005.2,0.129,11.99,18.63,21.78,90.15,,,3.99,5.96,-91.2,-91.2,8.87,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 09:00:00,96.6,23.83,1003.58,0.0,13.59,18.8,21.15,89.84,,,4.0,6.17,-88.2,-88.2,7.54,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 10:00:00,99.68,17.24,1008.3,0.0,15.89,18.56,21.4,91.16,,,4.0,6.3,-95.4,-95.4,9.13,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 11:00:00,95.02,25.69,1009.72,0.0,12.94,19.32,20.91,88.02,,,4.0,6.26,-93.3,-93.3,4.33,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 12:00:00,99.51,18.59,1011.6,0.0,14.24,17.9,21.86,89.35,,,4.0,6.11,-92.0,-92.0,11.8,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 13:00:00,97.6,25.01,1011.18,0.0,11.23,19.67,20.54,91.64,,,3.99,6.21,-92.9,-92.9,3.86,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 14:00:00,94.61,29.25,1007.91,0.0,12.98,19.22,21.48,87.36,,,3.98,6.05,-89.7,-89.7,12.21,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 15:00:00,90.3,31.02,1002.3,0.0,13.01,17.96,21.1,82.58,,,3.98,5.78,-89.2,-89.2,11.74,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 16:00:00,85.52,38.08,1009.6,0.0,11.59,18.1,20.17,77.7,,,3.98,5.56,-91.8,-91.8,7.38,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 17:00:00,80.46,43.55,1008.5,0.0,12.51,17.79,20.34,74.74,,,3.98,5.41,-91.1,-91.1,8.54,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 18:00:00,79.48,45.72,1008.13,0.0,12.02,17.43,20.59,73.48,,,3.99,5.38,-90.9,-90.9,7.37,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 19:00:00,72.66,49.94,1007.36,0.0,12.12,17.87,20.11,68.66,,,3.99,5.32,-86.9,-86.9,14.0,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 20:00:00,72.31,48.89,1008.49,0.0,11.96,18.92,20.53,67.27,,,3.99,5.25,-92.2,-92.2,11.88,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 21:00:00,71.15,49.86,1009.73,0.0,11.63,18.9,20.61,63.68,,,3.99,5.34,-92.5,-92.5,6.2,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 22:00:00,65.83,46.37,1006.57,0.0,11.21,18.58,20.67,62.69,,,3.99,5.37,-89.6,-89.6,9.6,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-23 23:00:00,67.58,50.91,1004.22,0.0,12.1,16.92,19.9,63.91,,,3.99,5.24,-92.5,-92.5,2.41,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 00:00:00,66.77,45.96,1008.77,0.0,12.37,17.73,20.66,62.16,,,3.98,5.39,-100.9,-100.9,10.04,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 01:00:00,69.46,43.99,1005.45,0.0,13.0,17.88,20.1,65.27,,,3.99,5.36,-88.4,-88.4,5.91,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 02:00:00,74.89,37.73,1010.98,0.0,11.18,19.05,22.53,70.21,,,3.99,5.28,-90.8,-90.8,5.62,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 03:00:00,72.37,46.64,1007.12,0.0,13.29,18.04,21.06,67.76,,,3.97,5.44,-94.0,-94.0,9.83,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 04:00:00,81.17,42.37,1009.98,0.0,12.05,18.11,19.94,75.02,,,4.0,5.38,-96.6,-96.6,5.27,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 05:00:00,80.91,37.03,1008.08,0.0,13.86,17.21,20.19,74.88,,,3.96,5.25,-92.2,-92.2,6.07,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 06:00:00,88.22,24.85,1012.52,0.0,13.51,18.83,19.73,81.95,,,3.96,5.55,-97.8,-97.8,11.26,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 07:00:00,89.79,43.21,1009.58,0.0,14.01,18.43,20.39,82.81,,,3.96,5.83,-93.2,-93.2,5.45,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 08:00:00,97.9,34.66,1009.03,0.0,13.49,19.41,21.58,91.35,,,3.98,5.96,-90.0,-90.0,6.77,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 09:00:00,97.87,34.91,1012.15,0.0,14.65,19.53,20.05,90.51,,,3.95,6.11,-85.3,-85.3,4.49,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 10:00:00,96.94,23.22,1006.39,0.0,15.01,19.27,20.99,91.69,,,3.96,6.28,-91.0,-91.0,6.72,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 11:00:00,102.7,34.04,1007.91,0.0,13.04,18.71,21.97,94.68,,,3.99,6.3,-97.8,-97.8,8.99,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 12:00:00,97.69,24.71,1007.25,0.0,12.6,20.18,21.21,89.52,,,3.97,6.33,-92.8,-92.8,9.76,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 13:00:00,94.68,40.09,1006.7,0.0,14.31,18.75,21.43,87.48,,,3.98,6.03,-91.1,-91.1,6.89,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 14:00:00,97.48,16.87,1011.67,0.0,12.05,18.26,20.76,91.3,,,3.97,5.93,-93.3,-93.3,10.84,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 15:00:00,86.69,39.69,1005.58,0.0,13.46,19.46,20.16,76.68,,,3.98,5.74,-86.6,-86.6,7.18,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 16:00:00,86.51,22.38,1007.97,0.0,12.36,18.23,20.25,76.2,,,3.97,5.64,-94.1,-94.1,11.81,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 17:00:00,85.43,41.68,1002.07,0.0,12.07,17.93,21.08,75.05,,,3.96,5.33,-93.0,-93.0,9.19,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 18:00:00,75.59,39.51,1008.27,0.0,11.99,18.64,21.07,70.98,,,3.98,5.37,-92.4,-92.4,6.38,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 19:00:00,71.66,41.74,1009.43,0.0,10.93,17.31,19.88,65.1,,,3.97,5.42,-98.8,-98.8,4.63,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 20:00:00,76.02,41.16,1006.3,0.0,10.81,17.99,19.44,71.96,,,3.95,5.27,-95.8,-95.8,3.65,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 21:00:00,70.66,48.63,1010.93,0.0,12.07,17.96,20.5,65.31,,,3.97,5.37,-98.0,-98.0,11.74,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 22:00:00,67.82,60.08,1006.91,0.0,12.27,19.35,20.51,62.53,,,4.0,5.31,-94.8,-94.8,10.59,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-24 23:00:00,67.35,50.09,1007.71,0.0,11.97,17.12,19.98,62.41,,,3.93,5.32,-92.8,-92.8,8.27,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-25 00:00:00,66.92,44.84,1008.43,0.015,11.2,17.28,18.92,61.81,,,3.96,5.31,-97.6,-97.6,9.2,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-25 01:00:00,70.9,50.22,999.18,0.049,12.04,17.05,20.51,65.79,,,4.01,5.35,-94.4,-94.4,7.63,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-25 02:00:00,75.49,44.32,1009.32,0.0,13.22,17.89,19.88,70.1,,,3.98,5.38,-89.8,-89.8,9.75,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-25 03:00:00,74.25,51.15,1006.29,0.0,13.16,16.81,21.6,69.96,,,3.98,5.27,-93.3,-93.3,7.86,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-25 04:00:00,82.2,42.79,1009.62,0.0,12.22,18.83,21.1,74.05,,,3.98,5.37,-94.5,-94.5,7.0,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-25 05:00:00,87.84,30.29,1007.34,0.0,12.38,17.45,19.45,82.23,,,3.97,5.41,-91.0,-91.0,6.15,1,rangeiq-mock-0.1,Dry ridge profile.
